// Huge thanks to MidnightAugur for manually mapping these!

/////////////////////////////////////////
// AI Files (baseattack)
/////////////////////////////////////////

set_file|pl0000_baseattack
set_node|588633122|FSM Start
set_node|1200230337|XYY Combo Choice
set_node|832755867|General Interrupt (Links, Skills, etc.)
set_node|568133455|XXYY Combo Choice
set_node|2046576833|Main Combo RNG
set_node|1909179984|XXXYY Combo Choice
set_node|1819164885|XXXXY Combo Choice
set_node|1759263694|Set to Idle
set_node|1355213185|Jump Attack FSM Link
set_node|645590373|XYY Combo Start
set_node|151203296|Normal Attack 1 (X)
set_node|30729569|Power Strike 1 (XY)
set_node|1469636338|Combo Finisher 1 (XYY)
set_node|2080222433|Move Towards Enemy (4.5m)
set_node|32713400|XXYY Combo Start
set_node|1131670252|Normal Attack 1 (X)
set_node|1088053656|Power Strike 2 (XXY)
set_node|1764399195|Combo Finisher 2 (XXYY)
set_node|1310396219|Move Towards Enemy (4.5m)
set_node|79947563|Normal Attack 2 (XX)
set_node|1625451594|XXXYY Combo Start
set_node|1378853137|Normal Attack 1 (X)
set_node|1684285711|Combo Finisher 3 (XXXY)
set_node|1653473498|Power Raise (Uncharged)
set_node|729209920|Move Towards Enemy (4.5m)
set_node|591154811|Normal Attack 2 (XX)
set_node|1908102617|Normal Attack 3 (XXX)
set_node|677644402|XXXXY Combo Start
set_node|1803962199|Normal Attack 1 (X)
set_node|159954625|Normal Attack 4 (XXXX)
set_node|1247025359|Combo Finisher 4 (XXXXY)
set_node|1215134087|Move Towards Enemy (4.5m)
set_node|897102196|Normal Attack 2 (XX)
set_node|2122672242|Normal Attack 3 (XXX)

set_file|pl0001_baseattack
set_node|588633122|FSM Start
set_node|1200230337|XYY Combo Choice
set_node|832755867|General Interrupt (Links, Skills, etc.)
set_node|568133455|XXYY Combo Choice
set_node|2046576833|Main Combo RNG
set_node|1909179984|XXXYY Combo Choice
set_node|1819164885|XXXXY Combo Choice
set_node|1759263694|Set to Idle
set_node|1355213185|Jump Attack FSM Link
set_node|645590373|XYY Combo Start
set_node|151203296|Normal Attack 1 (X)
set_node|30729569|Power Strike 1 (XY)
set_node|1469636338|Combo Finisher 1 (XYY)
set_node|2080222433|Move Towards Enemy (4.5m)
set_node|32713400|XXYY Combo Start
set_node|1131670252|Normal Attack 1 (X)
set_node|1088053656|Power Strike 2 (XXY)
set_node|1764399195|Combo Finisher 2 (XXYY)
set_node|1310396219|Move Towards Enemy (4.5m)
set_node|79947563|Normal Attack 2 (XX)
set_node|1625451594|XXXYY Combo Start
set_node|1378853137|Normal Attack 1 (X)
set_node|1684285711|Combo Finisher 3 (XXXY)
set_node|1653473498|Power Raise (Uncharged)
set_node|729209920|Move Towards Enemy (4.5m)
set_node|591154811|Normal Attack 2 (XX)
set_node|1908102617|Normal Attack 3 (XXX)
set_node|677644402|XXXXY Combo Start
set_node|1803962199|Normal Attack 1 (X)
set_node|159954625|Normal Attack 4 (XXXX)
set_node|1247025359|Combo Finisher 4 (XXXXY)
set_node|1215134087|Move Towards Enemy (4.5m)
set_node|897102196|Normal Attack 2 (XX)
set_node|2122672242|Normal Attack 3 (XXX)

set_file|pl0100_baseattack
